timestamp,blocknumber,sqrtPriceX96,tick,observationIndex,observationCardinality,observationCardinalityNext,feeProtocol,unlocked
1718236799,20079184,7884495627136030012830283304881,92011,34,180,180,0,True
1718236811,20079185,7884495627136030012830283304881,92011,34,180,180,0,True
1718236823,20079186,7884495627136030012830283304881,92011,34,180,180,0,True
1718236835,20079187,7884495627136030012830283304881,92011,34,180,180,0,True
1718236847,20079188,7884495627136030012830283304881,92011,34,180,180,0,True
1718236859,20079189,7884495627136030012830283304881,92011,34,180,180,0,True
1718236871,20079190,7884495627136030012830283304881,92011,34,180,180,0,True
1718236883,20079191,7884495627136030012830283304881,92011,34,180,180,0,True
1718236895,20079192,7884495627136030012830283304881,92011,34,180,180,0,True
1718236907,20079193,7884495627136030012830283304881,92011,34,180,180,0,True
1718236919,20079194,7884495627136030012830283304881,92011,34,180,180,0,True
1718236931,20079195,7884495627136030012830283304881,92011,34,180,180,0,True
1718236943,20079196,7884495627136030012830283304881,92011,34,180,180,0,True
1718236955,20079197,7884495627136030012830283304881,92011,34,180,180,0,True
1718236967,20079198,7884495627136030012830283304881,92011,34,180,180,0,True
1718236979,20079199,7884495627136030012830283304881,92011,34,180,180,0,True
1718236991,20079200,7884495627136030012830283304881,92011,34,180,180,0,True
1718237003,20079201,7884495627136030012830283304881,92011,34,180,180,0,True
1718237015,20079202,7884495627136030012830283304881,92011,34,180,180,0,True
1718237027,20079203,7884495627136030012830283304881,92011,34,180,180,0,True
1718237039,20079204,7884495627136030012830283304881,92011,34,180,180,0,True
1718237051,20079205,7884495627136030012830283304881,92011,34,180,180,0,True
1718237063,20079206,7884495627136030012830283304881,92011,34,180,180,0,True
1718237075,20079207,7884495627136030012830283304881,92011,34,180,180,0,True
1718237087,20079208,7884495627136030012830283304881,92011,34,180,180,0,True
1718237099,20079209,7884495627136030012830283304881,92011,34,180,180,0,True
1718237111,20079210,7884495627136030012830283304881,92011,34,180,180,0,True
1718237123,20079211,7884495627136030012830283304881,92011,34,180,180,0,True
1718237135,20079212,7884495627136030012830283304881,92011,34,180,180,0,True
1718237147,20079213,7884495627136030012830283304881,92011,34,180,180,0,True
1718237159,20079214,7884495627136030012830283304881,92011,34,180,180,0,True
1718237171,20079215,7884495627136030012830283304881,92011,34,180,180,0,True
1718237183,20079216,7884495627136030012830283304881,92011,34,180,180,0,True
1718237195,20079217,7884495627136030012830283304881,92011,34,180,180,0,True
1718237207,20079218,7884495627136030012830283304881,92011,34,180,180,0,True
1718237219,20079219,7884495627136030012830283304881,92011,34,180,180,0,True
1718237231,20079220,7884495627136030012830283304881,92011,34,180,180,0,True
1718237243,20079221,7884495627136030012830283304881,92011,34,180,180,0,True
1718237255,20079222,7884495627136030012830283304881,92011,34,180,180,0,True
1718237267,20079223,7884495627136030012830283304881,92011,34,180,180,0,True
1718237279,20079224,7884495627136030012830283304881,92011,34,180,180,0,True
1718237291,20079225,7884495627136030012830283304881,92011,34,180,180,0,True
1718237303,20079226,7884495627136030012830283304881,92011,34,180,180,0,True
1718237315,20079227,7884495627136030012830283304881,92011,34,180,180,0,True
1718237327,20079228,7884495627136030012830283304881,92011,34,180,180,0,True
1718237339,20079229,7884495627136030012830283304881,92011,34,180,180,0,True
1718237351,20079230,7884495627136030012830283304881,92011,34,180,180,0,True
1718237363,20079231,7884495627136030012830283304881,92011,34,180,180,0,True
1718237375,20079232,7884495627136030012830283304881,92011,34,180,180,0,True
1718237387,20079233,7884495627136030012830283304881,92011,34,180,180,0,True
1718237399,20079234,7884495627136030012830283304881,92011,34,180,180,0,True
1718237411,20079235,7884495627136030012830283304881,92011,34,180,180,0,True
1718237423,20079236,7884495627136030012830283304881,92011,34,180,180,0,True
1718237435,20079237,7884495627136030012830283304881,92011,34,180,180,0,True
1718237447,20079238,7884495627136030012830283304881,92011,34,180,180,0,True
1718237459,20079239,7884495627136030012830283304881,92011,34,180,180,0,True
1718237471,20079240,7884495627136030012830283304881,92011,34,180,180,0,True
1718237483,20079241,7884495627136030012830283304881,92011,34,180,180,0,True
1718237495,20079242,7884495627136030012830283304881,92011,34,180,180,0,True
1718237507,20079243,7884495627136030012830283304881,92011,34,180,180,0,True
1718237531,20079244,7884495627136030012830283304881,92011,34,180,180,0,True
1718237543,20079245,7884495627136030012830283304881,92011,34,180,180,0,True
1718237555,20079246,7884495627136030012830283304881,92011,34,180,180,0,True
1718237567,20079247,7884495627136030012830283304881,92011,34,180,180,0,True
1718237579,20079248,7884495627136030012830283304881,92011,34,180,180,0,True
1718237591,20079249,7884495627136030012830283304881,92011,34,180,180,0,True
1718237603,20079250,7884495627136030012830283304881,92011,34,180,180,0,True
1718237615,20079251,7884495627136030012830283304881,92011,34,180,180,0,True
1718237627,20079252,7884495627136030012830283304881,92011,34,180,180,0,True
1718237639,20079253,7884495627136030012830283304881,92011,34,180,180,0,True
1718237651,20079254,7884495627136030012830283304881,92011,34,180,180,0,True
1718237663,20079255,7884495627136030012830283304881,92011,34,180,180,0,True
1718237675,20079256,7884495627136030012830283304881,92011,34,180,180,0,True
1718237687,20079257,7884495627136030012830283304881,92011,34,180,180,0,True
1718237699,20079258,7884495627136030012830283304881,92011,34,180,180,0,True
1718237711,20079259,7884495627136030012830283304881,92011,34,180,180,0,True
1718237723,20079260,7884495627136030012830283304881,92011,34,180,180,0,True
1718237735,20079261,7884495627136030012830283304881,92011,34,180,180,0,True
1718237747,20079262,7884495627136030012830283304881,92011,34,180,180,0,True
1718237759,20079263,7884495627136030012830283304881,92011,34,180,180,0,True
1718237771,20079264,7884495627136030012830283304881,92011,34,180,180,0,True
1718237783,20079265,7884495627136030012830283304881,92011,34,180,180,0,True
1718237795,20079266,7884495627136030012830283304881,92011,34,180,180,0,True
1718237807,20079267,7884495627136030012830283304881,92011,34,180,180,0,True
1718237819,20079268,7884495627136030012830283304881,92011,34,180,180,0,True
1718237831,20079269,7884495627136030012830283304881,92011,34,180,180,0,True
1718237843,20079270,7884495627136030012830283304881,92011,34,180,180,0,True
1718237855,20079271,7884495627136030012830283304881,92011,34,180,180,0,True
1718237867,20079272,7884495627136030012830283304881,92011,34,180,180,0,True
1718237879,20079273,7884495627136030012830283304881,92011,34,180,180,0,True
1718237891,20079274,7891256949361290624539703785449,92028,35,180,180,0,True
1718237903,20079275,7891256949361290624539703785449,92028,35,180,180,0,True
1718237915,20079276,7891256949361290624539703785449,92028,35,180,180,0,True
1718237927,20079277,7891256949361290624539703785449,92028,35,180,180,0,True
