timestamp,blocknumber,sqrtPriceX96,tick,observationIndex,observationCardinality,observationCardinalityNext,feeProtocol,unlocked
1733702399,21361217,6402579846231759356210242875,-50316,11,180,180,0,True
1733702411,21361218,6402579846231759356210242875,-50316,11,180,180,0,True
1733702423,21361219,6402579846231759356210242875,-50316,11,180,180,0,True
1733702435,21361220,6402579846231759356210242875,-50316,11,180,180,0,True
1733702447,21361221,6402579846231759356210242875,-50316,11,180,180,0,True
1733702459,21361222,6402579846231759356210242875,-50316,11,180,180,0,True
1733702471,21361223,6410748982514198375008105154,-50290,12,180,180,0,True
1733702483,21361224,6415214664550736718507264125,-50276,13,180,180,0,True
1733702495,21361225,6415214664550736718507264125,-50276,13,180,180,0,True
1733702507,21361226,6417840054910624101557590569,-50268,14,180,180,0,True
1733702519,21361227,6426168731324737785308381184,-50242,15,180,180,0,True
1733702531,21361228,6426778315109131498605874330,-50240,16,180,180,0,True
1733702543,21361229,6426778315109131498605874330,-50240,16,180,180,0,True
1733702555,21361230,6426778315109131498605874330,-50240,16,180,180,0,True
1733702567,21361231,6426778315109131498605874330,-50240,16,180,180,0,True
1733702579,21361232,6426778315109131498605874330,-50240,16,180,180,0,True
1733702591,21361233,6426778315109131498605874330,-50240,16,180,180,0,True
1733702603,21361234,6426745900076266585365977772,-50240,16,180,180,0,True
1733702615,21361235,6426745900076266585365977772,-50240,16,180,180,0,True
1733702627,21361236,6426745900076266585365977772,-50240,16,180,180,0,True
1733702639,21361237,6426745900076266585365977772,-50240,16,180,180,0,True
1733702651,21361238,6426745900076266585365977772,-50240,16,180,180,0,True
1733702663,21361239,6426745900076266585365977772,-50240,16,180,180,0,True
1733702675,21361240,6426745900076266585365977772,-50240,16,180,180,0,True
1733702687,21361241,6426745900076266585365977772,-50240,16,180,180,0,True
1733702699,21361242,6426745900076266585365977772,-50240,16,180,180,0,True
1733702711,21361243,6426745900076266585365977772,-50240,16,180,180,0,True
1733702723,21361244,6426745900076266585365977772,-50240,16,180,180,0,True
1733702735,21361245,6426745900076266585365977772,-50240,16,180,180,0,True
1733702747,21361246,6426745900076266585365977772,-50240,16,180,180,0,True
1733702759,21361247,6426745900076266585365977772,-50240,16,180,180,0,True
1733702771,21361248,6426745900076266585365977772,-50240,16,180,180,0,True
1733702783,21361249,6430963318409872135458525392,-50227,17,180,180,0,True
1733702795,21361250,6435388887315340898751547513,-50213,18,180,180,0,True
1733702807,21361251,6436539408192949339993653156,-50210,19,180,180,0,True
1733702819,21361252,6441230183643087193286475135,-50195,20,180,180,0,True
1733702831,21361253,6440652109522806195099412143,-50197,21,180,180,0,True
1733702843,21361254,6440652109522806195099412143,-50197,21,180,180,0,True
1733702855,21361255,6441900224449430162288479990,-50193,22,180,180,0,True
1733702867,21361256,6441900224449430162288479990,-50193,22,180,180,0,True
1733702879,21361257,6441900224449430162288479990,-50193,22,180,180,0,True
1733702891,21361258,6444497590085286671020308445,-50185,23,180,180,0,True
1733702903,21361259,6445572475192512211523293663,-50182,24,180,180,0,True
1733702915,21361260,6445572475192512211523293663,-50182,24,180,180,0,True
1733702927,21361261,6450918108882808086265082496,-50165,25,180,180,0,True
1733702939,21361262,6450918108882808086265082496,-50165,25,180,180,0,True
1733702951,21361263,6450918108882808086265082496,-50165,25,180,180,0,True
1733702963,21361264,6454574052949729411737584393,-50154,26,180,180,0,True
1733702975,21361265,6454870112620902451051277625,-50153,27,180,180,0,True
1733702987,21361266,6458718759539268832974147557,-50141,28,180,180,0,True
1733702999,21361267,6458718759539268832974147557,-50141,28,180,180,0,True
1733703011,21361268,6459485544012403926604448252,-50139,29,180,180,0,True
1733703023,21361269,6461758219143120563651470316,-50132,30,180,180,0,True
1733703035,21361270,6461758219143120563651470316,-50132,30,180,180,0,True
1733703047,21361271,6461758219143120563651470316,-50132,30,180,180,0,True
1733703059,21361272,6461758219143120563651470316,-50132,30,180,180,0,True
1733703071,21361273,6466875157770614832685752824,-50116,31,180,180,0,True
1733703083,21361274,6466875157770614832685752824,-50116,31,180,180,0,True
1733703095,21361275,6466875157770614832685752824,-50116,31,180,180,0,True
1733703107,21361276,6466875157770614832685752824,-50116,31,180,180,0,True
1733703119,21361277,6466875157770614832685752824,-50116,31,180,180,0,True
1733703131,21361278,6466348005590005842675701125,-50117,32,180,180,0,True
1733703143,21361279,6466348005590005842675701125,-50117,32,180,180,0,True
1733703155,21361280,6466348005590005842675701125,-50117,32,180,180,0,True
1733703167,21361281,6469066839155386004808552145,-50109,33,180,180,0,True
1733703179,21361282,6471628644125108399601435348,-50101,34,180,180,0,True
1733703191,21361283,6473910379433451384929942527,-50094,35,180,180,0,True
1733703203,21361284,6475212396081099701291663116,-50090,36,180,180,0,True
1733703215,21361285,6474466533095846582047509627,-50092,37,180,180,0,True
1733703227,21361286,6474466533095846582047509627,-50092,37,180,180,0,True
