chain,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,collateralAsset,debtAsset,user,debtToCover,liquidatedCollateralAmount,liquidator,receiveAToken,debtAsset_price,collateral_symbol,debt_symbol,liquidated_collateral_amount,debt_amount
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xe189e99affc63f03b3bffbffde888eda59fc7e99b9d48373edd704b4558bb70b,,,171,2024-12-09 21:02:59.000 UTC,21367506,,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x46b40a5d0eea6dda9e40e7a598ebc8c7aee3c93e,19610867954,947244339651969273399,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.000107,LINK,USDC,947.2443396519693,19610.867954
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x30c772d0ba60e1dc54a8cbf9c272c80dcfea6eae881b926da5884a9ad4c1f6a7,,,498,2024-12-09 21:03:23.000 UTC,21367508,,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x77b69719a56359090acddcc4879c5e125a2298b8,6078557695,299559461579053702061,0xb441dea845a1a03a3e7aee81c03662fd9a1b6fda,false,1.000107,LINK,USDC,299.55946157905373,6078.557695
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x8559ccbfd6f0e70e026d02909b72813001b692ced672ad54922b87264ce40e50,,,31,2024-12-09 21:03:23.000 UTC,21367508,,0x514910771af9ca656af840dff83e8264ecf986ca,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd9821c303d9a55b710f4504de1751d93cfce233d,34760429642,1713917453427651569204,0xf7dc4ab21a6d8e7a573c13516cf3419b4b8a0002,false,0.998992,LINK,USDT,1713.9174534276517,34760.429642
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x38257befcb45cb96dd62ed2ff289e964478f900eee130458d1e569bf2f8e1a10,,,25,2024-12-09 21:03:47.000 UTC,21367510,,0x514910771af9ca656af840dff83e8264ecf986ca,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc5bd7138680faa7bf3e6415944eecc074ced419f,1983795388888,99728787095947119351656,0x78d0ce01d2a51d9999cd681315ae677cf4a07e4f,false,0.998992,LINK,USDT,99728.78709594712,1983795.388888
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1b8ff71a3f807564a426bfc0a6805510e31f4074cf91f8b5932aa01cd6070af8,,,37,2024-12-09 21:05:23.000 UTC,21367518,,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4370583a98e3e396824f5c8a5cceb24df246bfbf,262656702021,13887002537193402487241,0x97f0fa1e5bf44f0dbd8dc5ee5e0d017667ae0c34,false,1.00178,LINK,USDC,13887.002537193403,262656.702021
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x96c8314066d2aebedcd0d3b19a1e51f3f23d3a3f835cd208442bf439d4ab34f1,,,519,2024-12-09 21:05:47.000 UTC,21367520,,0x514910771af9ca656af840dff83e8264ecf986ca,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xc550b7d0f722ae0ddd986e4edf75f106bddb1499,4494110982508339887788,237628469335995114397,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,false,0.997987,LINK,GHO,237.62846933599513,4494.1109825083395
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x4aec1a75fea63eb64747b939a600357074f26f1f0287ce5742219cfea453a5fb,,,80,2024-12-09 21:05:59.000 UTC,21367521,,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4f03745d7963462cdbb0050f02f99025fed52976,50057343063,2704363922130504233837,0x8ce45e650ab17b6ca0dd6071f7c2b5c69b5b42b2,false,1.00178,LINK,USDC,2704.363922130504,50057.343063
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x961688a8f6d65708b1230d0e9ab3abaa92ee2637c4cacfcbc8026444dcb5c65b,,,131,2024-12-09 21:05:59.000 UTC,21367521,,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x440efbba3f3d971fd8411c580197ecb53ef71f87,19921417938,1076260956986994334293,0x78d0ce01d2a51d9999cd681315ae677cf4a07e4f,false,1.00178,LINK,USDC,1076.2609569869944,19921.417938
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xcdb46eef2170f03ccc2567012751f865e35df638a33ef0ca4fc679e54ff96e8d,,,34,2024-12-09 21:06:23.000 UTC,21367523,,0x514910771af9ca656af840dff83e8264ecf986ca,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0x995c06b04fc53211110d02bdba73301c4990ebf0,41433266433643256848989,2238624029459758703088,0xb441dea845a1a03a3e7aee81c03662fd9a1b6fda,false,0.997987,LINK,GHO,2238.6240294597587,41433.26643364326
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x5e82294c011f7e6963dc0c0a9d3130cc4bdfbdd33190c8623c1f2933e3432ff0,,,257,2024-12-09 21:06:47.000 UTC,21367525,,0x514910771af9ca656af840dff83e8264ecf986ca,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdf4a3ad0db1c9686f2fc0e1c09763d89cb358811,3107323635,167960088574226319621,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,false,1.005939,LINK,USDT,167.96008857422635,3107.323635
