relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit
flashbots,10981433,0x3757402aab3d034bb965175a5e725fac5ea90300360b908f7c95535a6cef6c76,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,32291435985980904,10692425,30763363
flashbots,10981432,0x2d59481dc6c3a4f02a768a33d51ab603e3232d526d2cdfe870e6b5c8eef7f6e0,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,49588382378455749,10812832,30793433
flashbots,10981409,0x2c3e27ca5ce6e5d354312acef6f961103e3e9c96364febdf0c72e65ad5528c89,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,229032998325571138,21234043,30823856
flashbots,10981398,0x9855ab3628b6102239ec3e0f76d403dd96a77ac1b52c9d96eae4e349fb9939cb,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,132388329092386829,23950521,30793932
flashbots,10981392,0x08e049ab7750af99a2fbea6d001deadc873addf55f106e2ee53b96927849d54f,0xa00003f73b2dd7971dd3030d6af2ba42bdf9cd02197026fee7572f3b8147137cca109048cece90fdd0f73a5d9b5b5e41,156594572256920586,1093001,30914538
flashbots,10981386,0xc9e355b2186eab1653fb64d5697ba2577a96f685e9e993575693b2ecc9edced8,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,47872895520164832,14861108,31096290
flashbots,10981371,0x2a7843e58fc7bdd7b99f2078fe7a8471cd078ab13ff87d95fe3b8e43aadd425e,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,27773690317487741,16292095,31005546
flashbots,10981354,0x0133eacf11d3fe25d6f8c7879a674eab9640b40ac0c7c55fa317f4a54235c343,0x946fcf348bbf1044a3eaa3d27f1d01397cfc4d27495a949447c95ea7ec41db9f5c4fe3b867a937623685a0462996df09,130599649274424174,17766123,31157557
flashbots,10981352,0x1a87314626e563ab951e2a48d3a3ed87135fe73e9c8faa78c5ff534e9f2d1772,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,43490627745738323,19185955,31157587
flashbots,10981339,0x9e4018a12bdbbf34970ebd902311af262d3fcfe8c5f3097edffcdcdd407a3649,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,51038659882628734,15852213,31006022
flashbots,10981329,0xd20f9d3002cb62f941df6e1f97d512e05eb26ad46b5ac17d14884fac554af2ae,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,66065827973948870,28289795,30825034
flashbots,10981312,0x210864de87f3eeb39a278d80ecb8b1605bd68a4d687e47045cab67448129dae8,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,216215381042154086,17584696,30855399
flashbots,10981302,0x519d7c38a2f109e5b0be7775fb0beddc97a906a47323ecdfd098337d69d1d644,0xb193dcaf1d485ba78094cb6b4126bff77e08c1244dff814447d3a31d9030b2584b369244ea67f13d48a02fa907b05f3a,70085203887361784,7045722,30855548
